Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
5600 BLOCK OF SE 125TH AVE,22-8401,Property,Powellhurst-Gilbert,1/10/2022,1221,Fraud Offenses,Identity Theft,45.481472889,-122.534536073,1/10/2022,1
5700 BLOCK OF N ALBINA AVE,22-28735,Property,Humboldt,1/31/2022,0627,Burglary,Burglary,45.564461951,-122.675007209,1/31/2022,1
5700 BLOCK OF N ALBINA AVE,22-900167,Property,Humboldt,12/23/2021,0230,Larceny Offenses,Theft From Motor Vehicle,45.564461951,-122.675007209,1/1/2022,1
5700 BLOCK OF N FESSENDEN ST,22-29039,Property,Portsmouth,1/31/2022,1443,Motor Vehicle Theft,Motor Vehicle Theft,45.591270726,-122.725036107,1/31/2022,1
5700 BLOCK OF N KERBY AVE,22-15829,Property,Humboldt,1/18/2022,0412,Larceny Offenses,Theft From Motor Vehicle,45.564472598,-122.672847610,1/18/2022,1
5700 BLOCK OF N WILLIS BLVD,22-4083,Person,Portsmouth,1/5/2022,1752,Assault Offenses,Intimidation,45.585600892,-122.725677220,1/5/2022,1
5700 BLOCK OF NE 32ND AVE,22-24027,Property,Concordia,1/25/2022,2300,Motor Vehicle Theft,Motor Vehicle Theft,45.564165053,-122.632854712,1/26/2022,1
5700 BLOCK OF NE 33RD AVE,22-903062,Property,Concordia,1/29/2022,1810,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.564267337,-122.630593128,1/29/2022,1
5700 BLOCK OF NE 72ND AVE,22-6514,Property,Cully,1/8/2022,1010,Arson,Arson,45.564506881,-122.588824611,1/8/2022,1
5700 BLOCK OF NE 72ND AVE,22-800174,Property,Cully,1/9/2022,2252,Arson,Arson,45.564506881,-122.588824611,1/9/2022,1
5700 BLOCK OF NE 105TH AVE,22-900712,Property,Parkrose,1/4/2022,0452,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.564261595,-122.554776218,1/5/2022,1
5700 BLOCK OF NE MARTIN LUTHER KING JR BLVD,22-19506,Property,King,1/21/2022,1532,Robbery,Robbery,45.564453226,-122.661355504,1/21/2022,1
5700 BLOCK OF NE PRESCOTT ST,22-2137,Property,Cully,1/2/2022,1540,Motor Vehicle Theft,Motor Vehicle Theft,45.555521981,-122.603857186,1/3/2022,1
5700 BLOCK OF NE PRESCOTT ST,22-23286,Property,Cully,1/24/2022,0930,Larceny Offenses,Theft From Building,45.555521981,-122.603857186,1/25/2022,1
5700 BLOCK OF NE SIMPSON ST,22-28042,Property,Cully,1/27/2022,1400,Motor Vehicle Theft,Motor Vehicle Theft,45.565144360,-122.603671076,1/30/2022,1
5700 BLOCK OF SE 17TH AVE,22-20726,Property,Sellwood-Moreland,1/22/2022,1905,Larceny Offenses,All Other Larceny,45.481265857,-122.648475651,1/22/2022,1
5700 BLOCK OF SE 65TH AVE,22-901337,Property,Mt Scott-Arleta,1/17/2022,2140,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.481156630,-122.596950029,1/18/2022,1
5700 BLOCK OF SE 82ND AVE,22-24040,Property,Lents,12/5/2021,1700,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.481133542,-122.578907114,1/26/2022,1
